time	sum_h_out_002_001
3.830647928767992e-09	-1.188216071091061e-02
3.830677731090379e-09	-1.188252544163062e-02
3.830737335735155e-09	-1.188325489845684e-02
3.830856545024706e-09	-1.188471379365356e-02
3.831094963603808e-09	-1.188763151021859e-02
3.831571800762010e-09	-1.189346664799163e-02
3.832525475078417e-09	-1.190513574176604e-02
3.834432823711229e-09	-1.192846919950556e-02
3.838247520976854e-09	-1.197511717422694e-02
3.845876915508104e-09	-1.206833719210501e-02
3.861135704570605e-09	-1.225447220891008e-02
3.891653282695605e-09	-1.262551266086641e-02
3.952688438945604e-09	-1.336261130353374e-02
4.074758751445604e-09	-1.481653032383679e-02
4.318899376445604e-09	-1.764229565409053e-02
4.379934532695604e-09	-1.832822493063468e-02
4.502004845195604e-09	-1.968659653388220e-02
4.532522423320604e-09	-2.002115484105252e-02
4.540151817851854e-09	-2.010469060525493e-02
4.555410606914354e-09	-2.027155475714803e-02
4.585928185039354e-09	-2.060404194199230e-02
4.646963341289354e-09	-2.126408423321468e-02
4.769033653789354e-09	-2.256470876320252e-02
5.013174278789354e-09	-2.509029843337056e-02
5.501455528789354e-09	-2.985557536244784e-02
5.798739334525738e-09	-3.257934999550026e-02
6.000795997185152e-09	-3.435866317698583e-02
6.186693647436314e-09	-3.594632370257771e-02
6.397804787916566e-09	-3.769388471583809e-02
6.551063722436432e-09	-3.892661912186577e-02
6.699575840016140e-09	-4.009315949544035e-02
6.835893647404541e-09	-4.114019989521804e-02
6.989090942718398e-09	-4.229043965982461e-02
7.134034216546039e-09	-4.335350313043289e-02
7.364477492863928e-09	-4.499470180494605e-02
7.592478585025579e-09	-4.656106915840550e-02
7.820439340657182e-09	-4.807207106899389e-02
7.974095210367594e-09	-4.906040179277313e-02
8.097377675592058e-09	-4.983629291305740e-02
8.235548101378427e-09	-5.068822647946850e-02
8.375451105306973e-09	-5.153221891197397e-02
8.498177932373341e-09	-5.225747749539210e-02
8.626805844534027e-09	-5.300276428684579e-02
8.754312410075940e-09	-5.372685232329882e-02
8.852692193908491e-09	-5.427570853217347e-02
8.969458287205312e-09	-5.491624485374544e-02
9.100139612285821e-09	-5.561934001069291e-02
9.288990228119054e-09	-5.661030541043542e-02
9.518505737246674e-09	-5.777583732438666e-02
9.762593619225437e-09	-5.897020242660655e-02
1.009316323117532e-08	-6.051670484578780e-02
1.027818074034780e-08	-6.134779324561683e-02
1.041468420311224e-08	-6.194567380463341e-02
1.051352793890003e-08	-6.237068013688723e-02
1.061272263937336e-08	-6.279062471199440e-02
1.071931758287268e-08	-6.323468103299505e-02
1.083394987595670e-08	-6.370401606155367e-02
1.095421630839537e-08	-6.418744208429378e-02
1.100000000000000e-08	-6.436909012620215e-02
1.101307499926333e-08	-6.442067385003390e-02
1.103922499779000e-08	-6.452363041368163e-02
1.109152499484334e-08	-6.472828342371093e-02
1.115544930587350e-08	-6.497615732567767e-02
1.122872956336821e-08	-6.525727380193837e-02
1.134575366375217e-08	-6.569956931440110e-02
1.146661107563212e-08	-6.614792295665098e-02
1.157822933849098e-08	-6.655452845186004e-02
1.170850153372470e-08	-6.702018904334779e-02
1.184648476699492e-08	-6.750316386159630e-02
1.200000000000000e-08	-6.802838666839553e-02
1.202078252529203e-08	-6.809840766983703e-02
1.206234757587608e-08	-6.823799547018883e-02
1.214547767704419e-08	-6.851446352038848e-02
1.227311761668327e-08	-6.893202453052327e-02
1.241063443278328e-08	-6.937265853084604e-02
1.268566806498332e-08	-7.022606949007429e-02
1.300604273475953e-08	-7.117498108226317e-02
1.330588068435357e-08	-7.202095284774171e-02
1.366494047003528e-08	-7.298321673260806e-02
1.409409518766058e-08	-7.406471882423059e-02
1.423934287336476e-08	-7.441449333732164e-02
1.435010558260038e-08	-7.467592918307864e-02
1.447193550722457e-08	-7.495830535556325e-02
1.462227110249176e-08	-7.529942089598976e-02
1.475744387330191e-08	-7.559935523328726e-02
1.490609300373066e-08	-7.592195593551367e-02
1.506881161408802e-08	-7.626660082996498e-02
1.527693012215707e-08	-7.669482819940748e-02
1.558112996447969e-08	-7.729626534128234e-02
1.588850976593902e-08	-7.787561578029149e-02
1.619851035869818e-08	-7.843237536905545e-02
1.652736588395731e-08	-7.899424515149246e-02
1.686639012715181e-08	-7.954403380057783e-02
1.727961115822369e-08	-8.017598472434495e-02
1.772122260732795e-08	-8.080774604644941e-02
1.808210382716568e-08	-8.129253321291253e-02
1.831422333911685e-08	-8.159016041440849e-02
1.849705418472499e-08	-8.181709631074635e-02
1.862499509958261e-08	-8.197208352800028e-02
1.881460230439992e-08	-8.219615833628327e-02
1.899888567425082e-08	-8.240767095485853e-02
1.927639379370262e-08	-8.271493730091520e-02
1.956576945464049e-08	-8.302147006517906e-02
1.995300369757119e-08	-8.341062277236967e-02
