time	final_out
1.269829184728268e-07	1.283939090168370e+00
1.279594809728268e-07	1.283939077616312e+00
1.289360434728268e-07	1.283939066192538e+00
1.299126059728268e-07	1.283939055794380e+00
1.308891684728268e-07	1.283939046328566e+00
1.318657309728268e-07	1.283939037710394e+00
1.328422934728268e-07	1.283939029862910e+00
1.338188559728268e-07	1.283939022716237e+00
1.347954184728268e-07	1.283939016206888e+00
1.357719809728267e-07	1.283939010277211e+00
1.367485434728267e-07	1.283939004874820e+00
1.377251059728267e-07	1.283938999952145e+00
1.387016684728267e-07	1.283938995465952e+00
1.396782309728267e-07	1.283938991376978e+00
1.406547934728267e-07	1.283938987649527e+00
1.416313559728267e-07	1.283938984251185e+00
1.426079184728267e-07	1.283938981152476e+00
1.435844809728267e-07	1.283938978326626e+00
1.445610434728267e-07	1.283938975749279e+00
1.455376059728267e-07	1.283938973398310e+00
1.465141684728267e-07	1.283938971253588e+00
1.474907309728267e-07	1.283938969296821e+00
1.484672934728267e-07	1.283938967511356e+00
1.494438559728267e-07	1.283938965882063e+00
1.504204184728267e-07	1.283938964395158e+00
1.513969809728267e-07	1.283938963038114e+00
1.523735434728267e-07	1.283938961799521e+00
1.533501059728267e-07	1.283938960669004e+00
1.543266684728267e-07	1.283938959637102e+00
1.553032309728267e-07	1.283938958695214e+00
1.562797934728267e-07	1.283938957835494e+00
1.572563559728267e-07	1.283938957050811e+00
1.582329184728267e-07	1.283938956334651e+00
1.592094809728267e-07	1.283938955681091e+00
1.601860434728267e-07	1.283938955084718e+00
1.611626059728267e-07	1.283938954540617e+00
1.621391684728267e-07	1.283938954044286e+00
1.631157309728267e-07	1.283938953591638e+00
1.640922934728267e-07	1.283938953178926e+00
1.650688559728267e-07	1.283938952802747e+00
1.660454184728267e-07	1.283938952459982e+00
1.670219809728267e-07	1.283938952147798e+00
1.679985434728267e-07	1.283938951863595e+00
1.689751059728267e-07	1.283938951605010e+00
1.699516684728267e-07	1.283938951369872e+00
1.709282309728267e-07	1.283938951156211e+00
1.719047934728266e-07	1.283938950962215e+00
1.728813559728266e-07	1.283938950786242e+00
1.738579184728266e-07	1.283938950626776e+00
1.748344809728266e-07	1.283938950482443e+00
1.758110434728266e-07	1.283938950351974e+00
1.767876059728266e-07	1.283938950234222e+00
1.777641684728266e-07	1.283938950128122e+00
1.787407309728266e-07	1.283938950032716e+00
1.797172934728266e-07	1.283938949947113e+00
1.806938559728266e-07	1.283938949870509e+00
1.816704184728266e-07	1.283938949802156e+00
1.826469809728266e-07	1.283938949741379e+00
1.836235434728266e-07	1.283938949687550e+00
1.846001059728266e-07	1.283938949640107e+00
1.855766684728266e-07	1.283938949598520e+00
1.865532309728266e-07	1.283938949562317e+00
1.875297934728266e-07	1.283938949531051e+00
1.885063559728266e-07	1.283938949504327e+00
1.894829184728266e-07	1.283938949481768e+00
1.904594809728266e-07	1.283938949463045e+00
1.914360434728266e-07	1.283938949447839e+00
1.924126059728266e-07	1.283938949435871e+00
1.933891684728266e-07	1.283938949426872e+00
1.943657309728266e-07	1.283938949420610e+00
1.953422934728266e-07	1.283938949416858e+00
1.963188559728266e-07	1.283938949415420e+00
1.972954184728266e-07	1.283938949416103e+00
1.982719809728266e-07	1.283938949418743e+00
1.992485434728266e-07	1.283938949423176e+00
2.002251059728266e-07	1.283938949429267e+00
2.012016684728266e-07	1.283938949436876e+00
2.021782309728266e-07	1.283938949445884e+00
2.031547934728266e-07	1.283938949456171e+00
2.041313559728266e-07	1.283938949467643e+00
2.051079184728266e-07	1.283938949480200e+00
2.060844809728266e-07	1.283938949493765e+00
2.070610434728266e-07	1.283938949508250e+00
2.080376059728265e-07	1.283938949523586e+00
2.090141684728265e-07	1.283938949539700e+00
2.099907309728265e-07	1.283938949556534e+00
2.109672934728265e-07	1.283938949574025e+00
2.119438559728265e-07	1.283938949592127e+00
2.129204184728265e-07	1.283938949610784e+00
2.138969809728265e-07	1.283938949629960e+00
2.148735434728265e-07	1.283938949649607e+00
2.158501059728265e-07	1.283938949669692e+00
2.168266684728265e-07	1.283938949690175e+00
2.178032309728265e-07	1.283938949711031e+00
2.187797934728265e-07	1.283938949732224e+00
2.197563559728265e-07	1.283938949753732e+00
2.207329184728265e-07	1.283938949775524e+00
2.217094809728265e-07	1.283938949797583e+00
2.226860434728265e-07	1.283938949819881e+00
2.236626059728265e-07	1.283938949842405e+00
2.246391684728265e-07	1.283938949865130e+00
2.256157309728265e-07	1.283938949888047e+00
2.265922934728265e-07	1.283938949911133e+00
2.275688559728265e-07	1.283938949934382e+00
2.285454184728265e-07	1.283938949957772e+00
2.295219809728265e-07	1.283938949981297e+00
2.304985434728265e-07	1.283938950004941e+00
2.314751059728265e-07	1.283938950028701e+00
2.324516684728265e-07	1.283938950052561e+00
2.334282309728265e-07	1.283938950076518e+00
2.344047934728265e-07	1.283938950100558e+00
2.353813559728265e-07	1.283938950124681e+00
2.363579184728265e-07	1.283938950148873e+00
2.373344809728265e-07	1.283938950173133e+00
2.383110434728265e-07	1.283938950197451e+00
2.392876059728265e-07	1.283938950221824e+00
2.402641684728265e-07	1.283938950246244e+00
2.412407309728265e-07	1.283938950270713e+00
2.422172934728265e-07	1.283938950295220e+00
2.431938559728266e-07	1.283938950319766e+00
2.441704184728266e-07	1.283938950344343e+00
2.451469809728266e-07	1.283938950368953e+00
2.461235434728266e-07	1.283938950393589e+00
2.471001059728267e-07	1.283938950418251e+00
2.480766684728267e-07	1.283938950442930e+00
2.490532309728267e-07	1.283938950467630e+00
2.500297934728267e-07	1.283938950492343e+00
2.510063559728267e-07	1.283938950517074e+00
2.519829184728268e-07	1.283938950541816e+00
2.529594809728268e-07	1.283938950566573e+00
2.539360434728268e-07	1.283938950591335e+00
2.549126059728268e-07	1.283938950616109e+00
2.558891684728269e-07	1.283938950640887e+00
2.568657309728269e-07	1.283938950665673e+00
2.578422934728269e-07	1.283938950690462e+00
2.588188559728269e-07	1.283938950715257e+00
2.597954184728270e-07	1.283938950740052e+00
