time	final_out
1.010507636212437e-08	3.025670076539261e-03
1.031922893382429e-08	3.023231997338606e-03
1.045010198833115e-08	3.021507650403407e-03
1.054900310754677e-08	3.020080302643590e-03
1.066019679306838e-08	3.018344340508635e-03
1.077293218900883e-08	3.016440506702060e-03
1.088089259795675e-08	3.014480375088535e-03
1.100000000000000e-08	3.012161820457090e-03
1.101392704546805e-08	3.011878907641722e-03
1.104178113640416e-08	3.011308615652642e-03
1.109748931827638e-08	3.010141301265949e-03
1.116337091011270e-08	3.008714941129503e-03
1.123924829302331e-08	3.007010972649256e-03
1.135550674509019e-08	3.004275980822494e-03
1.148358570948754e-08	3.001095126307110e-03
1.159666373646199e-08	2.998145824950109e-03
1.173170711374843e-08	2.994452878326565e-03
1.187201998027170e-08	2.990416977699984e-03
1.200000000000000e-08	2.986556906848811e-03
1.202188212618952e-08	2.985877272338761e-03
1.206564637856855e-08	2.984508003616819e-03
1.215317488332662e-08	2.981710649360399e-03
1.228415954108316e-08	2.977384958544166e-03
1.242621054693102e-08	2.972522047991415e-03
1.271031255862674e-08	2.962439788055314e-03
1.302661008184046e-08	2.951127001966687e-03
1.331238850590751e-08	2.941434403136723e-03
1.367748829412704e-08	2.930602807564636e-03
1.403498443104180e-08	2.921962788327456e-03
1.417795074664869e-08	2.919017056298899e-03
1.428582023881242e-08	2.916939828142240e-03
1.441184654506328e-08	2.914624469341303e-03
1.453129656825175e-08	2.912497189299034e-03
1.470923213667250e-08	2.909337025269848e-03
1.485637123971951e-08	2.906639514278139e-03
1.502917684676530e-08	2.903241044841659e-03
1.520093200559116e-08	2.899504355930025e-03
1.551677526127897e-08	2.891382961040114e-03
1.581858340736610e-08	2.881920700554148e-03
1.612022371351428e-08	2.870804209860120e-03
1.645485755708382e-08	2.856898473344035e-03
1.677463304775919e-08	2.842651367796237e-03
1.719180845134228e-08	2.823870110070903e-03
1.761018062634990e-08	2.806091441965354e-03
1.809846187634990e-08	2.788215413829398e-03
1.836267733259689e-08	2.780197876610226e-03
1.853227120513729e-08	2.775750240281292e-03
1.866075430861772e-08	2.772755460713876e-03
1.880905392353198e-08	2.769704102928765e-03
1.901237692195758e-08	2.766227073487089e-03
1.929828920748286e-08	2.762678759131428e-03
1.959732254670659e-08	2.760564486748711e-03
1.997434144455748e-08	2.760039902632768e-03
2.041977428237991e-08	2.762134462054639e-03
2.090805553237991e-08	2.767250403989248e-03
2.139633678237991e-08	2.774674935157798e-03
2.188461803237991e-08	2.783763223704067e-03
2.237289928237991e-08	2.793950294364999e-03
2.286118053237991e-08	2.804763383787987e-03
2.334946178237991e-08	2.815837533925120e-03
